code,name_es,name_en,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_mg_100g
2647,Bombón,Chocolate,475.14,4.8,66.0,21.2,0.8,60.0
731,"Boniato, crudo","Sweet potato, raw",100.98,1.2,23.0,0.3,2.9,20.0
800,"Bonito del norte, al vapor","Albacore, steamed",163.46,30.0,0.0,4.7,0.0,40.0
801,"Bonito del norte, enlatado en aceite de soja","Albacore, canned, soybean oil",205.11,32.2,0.0,8.4,0.0,350.0
2314,Bonito en aceite vegetal,Albacore in vegetable oil,198.7,23.88,0.0,11.5,0.0,400.0
802,"Bonito, enlatado en aceite, escurrido","Albacore, canned in oil, drained",203.56,26.23,0.0,4.73,0.0,350.0
2316,Boquerón,Anchovy,127.22,17.6,0.0,6.3,0.0,120.0
2318,"Boquerón, frito","Anchovy, fried",136.72,20.09,0.5,6.0,0.0,100.0
2371,Borraja,Borage,25.94,1.8,3.06,0.7,0.0,80.0
803,"Breca, cruda","Pandora, raw",75.48,15.4,1.0,1.59,0.0,140.0
1177,"Brécol, crudo","Broccoli, raw",25.48,3.0,2.4,0.4,3.0,10.0
2372,"Brécol, hervido","Broccoli, boiled",24.14,3.1,1.1,0.8,0.65,10.0
2254,Butifarra,Butifarra sausage,239.84,10.0,5.5,20.0,0.0,700.0
804,"Caballa, al horno","Mackerel, baked",247.67,16.7,0.0,20.33,0.0,90.0
2319,"Caballa, cruda","Mackarel, raw",181.13,18.68,0.0,11.9,0.0,80.0
805,"Caballa, enlatada en aceite, escurrida","Mackerel, canned in oil, drained",207.34,14.9,0.0,16.6,0.0,380.0
806,"Cabracho o rascacio, crudo","Red rockfish, raw",92.11,19.0,0.0,1.69,0.0,60.0
2711,"Cabrito lechal, costillar, asado","Kid, ribs, roasted",263.7,22.46,0.0,19.5,0.0,90.0
2685,"Cabrito lechal, costillar, crudo","Kid, ribs, raw",224.19,17.11,0.0,17.49,,60.0
2686,"Cabrito lechal, espalda, cruda","Kid, back, raw",204.63,18.63,0.0,14.58,,90.0
2687,"Cabrito lechal, pierna, cruda","Kid, leg, raw",189.41,18.78,0.0,12.79,,70.0
2185,"Cacahuete, crudo, con cáscara","Peanut, raw, in shell",541.44,25.23,7.91,43.06,8.1,0.0
925,"Cacahuete, frito, salado","Peanut, fried, salted",589.99,26.8,8.9,50.31,8.4,430.0
2186,"Cacahuete, tostado, salado","Peanut, toasted, salted",597.08,24.5,7.1,53.0,6.9,400.0
2648,"Cacao en polvo, azucarado","Soluble cocoa, with sugar, powder",388.46,5.88,81.02,4.0,3.5,500.0
2431,"Cacao, en polvo, azucarado, bajo en calorías","Soluble cocoa, with sugar, powder, light",384.08,9.8,67.1,8.1,0.8,200.0
681,"Café, con leche","Coffee infusion, with milk",37.78,1.7,2.45,2.37,0.0,20.0
1019,"Café, en grano o molido, descafeinado","Coffee, seed or powder, descaffeinated",301.96,10.4,30.4,15.4,58.2,70.0
1109,"Café, en polvo, sin reconstituir","Coffee, powder",110.33,18.5,8.0,0.3,0.0,40.0
2433,"Café, infusión","Coffee, brewed",2.08,0.12,0.0,0.18,0.0,10.0
2434,"Café, infusión, descafeinado","Coffee, brewed, decaffeinated",2.08,0.12,0.0,0.18,0.0,10.0
2435,"Café, sucedáneo, soluble","Coffee, substitute, instant",408.75,12.3,80.9,3.4,0.1,70.0
2376,Calabacín,Courgette,17.21,1.8,2.0,0.2,1.0,0.0
2377,"Calabacín, asado","Courgette, roasted",17.75,1.76,1.76,0.39,1.6,0.0
2378,"Calabaza, cruda","Pumpkin, raw",32.05,1.2,5.6,0.5,2.4,0.0
1183,"Calabaza, hervida","Pumpkin, boiled",12.3,0.6,2.1,0.15,0.5,80.0
2320,"Calamar, asado","Squid, roasted",80.89,16.58,0.5,1.3,,250.0
1164,"Calamar, conserva","Squid, canned",88.79,17.0,0.5,2.0,0.0,430.0
807,"Calamar, crudo","Squid, raw",71.49,14.0,1.09,1.47,0.0,140.0
2323,Calamares en aceite vegetal,Squid in vegetable oil,215.89,22.5,0.6,13.8,0.0,380.0
792,Caldo vegetal,Vegetable stock,104.11,11.3,9.1,2.4,,280.0
687,Callos de ternera,"Tripe, veal, raw",94.69,14.56,0.0,3.95,0.0,50.0
2321,Camarón,Shrimp or common prawn,82.91,17.6,1.5,0.6,0.0,190.0
2477,"Canela, en polvo","Cinnamon, powder",371.59,3.9,80.59,3.2,54.3,30.0
2478,Canelones,Canneloni,191.04,11.2,9.7,12.0,0.5,270.0
2325,Cangrejo de río crudo,Crayfish raw,124.33,19.5,0.0,5.1,0.0,370.0
810,"Cangrejo, en conserva","Crayfish, canned",98.38,19.7,1.0,1.61,0.0,720.0
2379,Canonigos,Lamb's lettuce,13.7,1.8,0.7,0.4,1.5,0.0
2213,Caqui,Persimmon,66.78,0.7,15.3,0.2,2.5,0.0
2326,Caracol,Snail,85.92,16.1,2.0,1.4,0.0,70.0
2380,Cardo,Cardoon,21.68,1.4,3.5,0.2,1.0,220.0
