code,name_it,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
007120,"Mele, fresche, con buccia",44.0,0.2,10.0,0.0,2.6,10.0,2.0
007140,"Mele, fresche, deliziose",46.0,0.2,11.1,0.1,1.5,11.1,
007150,"Mele, fresche, golden",46.0,0.4,10.7,0.1,1.7,10.7,0.0
007160,"Mele, fresche, granny smith",42.0,0.5,9.4,0.1,1.9,9.4,
007170,"Mele, fresche, imperatore",48.0,0.2,11.3,0.1,1.9,11.3,
007180,"Mele, fresche, renette",43.0,0.3,10.0,0.1,1.7,10.0,0.0
007110,"Mele, fresche, senza buccia",57.0,0.3,13.7,0.1,2.0,13.7,2.0
007230,"Melone, d'estate, fresco",34.0,0.8,7.4,0.2,0.7,7.4,8.0
007240,"Melone, d'inverno, fresco",24.0,0.5,4.9,0.2,0.7,4.9,8.0
121310,Melù o pesce molo,72.0,17.4,0.0,0.3,0.0,0.0,72.0
121330,"Melù o pesce molo, stoccafisso, ammollato",92.0,20.7,0.3,0.9,0.0,0.3,51.0
121320,"Melù o pesce molo, stoccafisso, secco",356.0,80.1,1.1,3.5,0.0,1.1,500.0
006810,"Menta, fresca",49.0,3.8,5.3,0.7,3.8,5.3,15.0
210030,"Merendine, con marmellata, industriale",364.0,5.5,67.9,9.5,1.1,44.8,
210040,"Merendine, farcite con cacao, industriale",410.0,6.2,65.5,15.1,1.9,43.8,
210060,"Merendine, tipo brioche, industriale",440.0,8.2,65.7,17.6,1.0,22.5,
210050,"Merendine, tipo pan di Spagna, industriale",386.0,7.4,62.7,13.1,1.5,34.9,
210070,"Merendine, tipo pasta frolla, industriale",447.0,5.3,71.7,17.1,1.7,35.2,
121410,Merluzzo o nasello,71.0,17.0,0.0,0.3,0.0,0.0,77.0
121450,"Merluzzo o nasello, baccalà, ammollato",95.0,21.6,0.0,1.0,0.0,0.0,
121440,"Merluzzo o nasello, baccalà, secco",131.0,29.0,0.0,1.7,0.0,0.0,
121490,"Merluzzo o nasello, bastoncini di pesce, surgelati",191.0,11.0,15.0,10.1,0.0,0.6,
121420,"Merluzzo o nasello, surgelato",75.0,17.3,0.0,0.6,0.0,0.0,77.0
121424,"Merluzzo o nasello, surgelato, cotto, al microonde",107.0,24.8,0.0,0.9,0.0,0.0,82.0
121423,"Merluzzo o nasello, surgelato, cotto, in forno",78.0,17.5,0.0,0.9,0.0,0.0,78.0
121430,"Merluzzo o nasello, surgelato, filetti",68.0,15.6,0.0,0.6,0.0,0.0,68.0
210010,Miele,304.0,0.6,80.3,0.0,0.0,80.3,11.0
000080,Miglio,343.0,11.8,64.9,3.9,8.5,,5.0
000081,"Miglio, decorticato",342.0,11.0,67.8,4.2,3.1,4.9,1.0
115500,Milza di bovini,107.0,18.5,0.0,3.7,0.0,0.0,85.0
900010,"Minestre in scatola, crema di asparagi",26.0,1.0,4.2,0.7,,,410.0
900110,"Minestre in scatola, crema di cipolle",26.0,2.2,2.2,1.0,,,438.0
900210,"Minestre in scatola, crema di funghi",56.0,1.0,4.2,4.0,,,398.0
900310,"Minestre in scatola, crema di pollo",58.0,1.7,4.5,3.8,,1.1,460.0
900410,"Minestre in scatola, crema di pomodori",36.0,0.8,6.4,1.0,,,396.0
905100,Minestrone liofilizzato,298.0,10.1,47.6,8.8,,15.0,5600.0
905010,"Minestrone, cotto",45.0,2.0,7.8,0.4,2.1,,
007760,"Mirtilli, freschi",49.0,0.9,10.1,0.2,3.1,10.1,2.0
007750,Mora di rovo,42.0,1.3,8.1,0.0,3.2,8.1,2.0
121500,Mormora,97.0,18.0,2.0,1.9,0.0,2.0,
110200,Mortadella Bologna IGP,288.0,15.7,0.0,25.0,0.0,,960.0
110210,Mortadella di bovini e suini,388.0,13.3,0.5,37.0,0.0,0.5,
164810,Mozzarella di bufala,288.0,16.7,0.4,24.4,0.0,0.4,
164811,Mozzarella di bufala campana DOP,257.0,14.1,1.4,21.7,0.0,,211.0
164820,Mozzarella di vacca,253.0,18.7,0.7,19.5,0.0,0.7,200.0
003040,Muesli,374.0,9.7,71.7,6.0,6.4,26.2,380.0
007250,"Nespole, fresche",32.0,0.4,6.1,0.4,2.1,6.1,6.0
008550,"Nocciole, secche",671.0,13.8,6.1,64.1,8.1,4.1,11.0
008560,Noci,589.0,10.5,5.5,57.7,3.5,3.4,3.0
008580,Noci pecan,723.0,7.2,7.9,71.8,9.4,4.3,0.0
008570,"Noci, secche",702.0,14.3,5.1,68.1,6.2,3.1,2.0
106150,"Oca, crudo",373.0,15.8,0.0,34.4,0.0,0.0,120.0
121600,Occhiata,117.0,19.0,2.0,3.7,0.0,2.0,
009799,Oli vegetali,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009610,Olio di arachide,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009620,Olio di cocco,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009630,Olio di colza,899.0,0.0,0.0,99.9,0.0,0.0,0.0
194000,Olio di fegato di merluzzo,899.0,0.0,0.0,99.9,0.0,0.0,0.0
009640,Olio di germe di grano,899.0,0.0,0.0,99.9,0.0,0.0,0.0
