code,name_en,group,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g
13-507,"Mushrooms, white, fried in rapeseed oil",DG,106.0,1.4,0.4,11.0,1.0,0.4,6.0
13-545,"Mushrooms, white, fried in salted butter",DG,106.0,1.4,0.4,11.0,1.0,0.4,150.0
13-505,"Mushrooms, white, raw",DG,7.0,1.0,0.3,0.2,0.7,0.3,4.0
13-506,"Mushrooms, white, stewed in unsalted water",DG,9.0,1.4,0.1,0.3,2.6,0,3.0
16-411,"Mussels in white wine sauce, cooked",JM,82.0,9.7,3.7,3.2,0,0.8,608.0
16-390,"Mussels, purchased cooked",JM,104.0,17.7,3.5,2.2,0.0,0,401.0
16-497,"Mussels, raw",JM,74.0,12.1,2.5,1.8,0.0,0,290.0
13-297,"Mustard and cress, raw",DG,13.0,1.6,0.4,0.6,,0.4,19.0
13-299,"Mustard leaves, boiled in unsalted water",DG,17.0,2.0,1.9,0.2,,0.5,16.0
13-298,"Mustard leaves, raw",DG,27.0,2.5,3.6,0.3,,0.8,25.0
17-362,Mustard powder,WY,452.0,28.9,20.7,28.7,,,5.0
17-363,"Mustard, powder, made up",WY,226.0,14.5,10.4,14.4,,,3.0
17-364,"Mustard, smooth",WY,139.0,7.1,9.7,8.2,,7.8,2950.0
17-365,"Mustard, wholegrain",WY,140.0,8.2,4.2,10.2,,3.9,1620.0
14-380,"Nectarines, flesh and skin, raw",FA,43.0,1.0,9.8,0.3,1.3,9.8,0
14-381,"Nectarines, flesh and skin, raw, weighed with stones",FA,40.0,0.9,9.0,0.3,1.2,9.0,0
11-719,"Noodles, egg, dried, raw",AD,338.0,12.0,72.6,2.0,,1.7,500.0
11-941,"Noodles, egg, fine, dried, boiled in unsalted water",AD,129.0,4.7,27.5,0.8,2.3,0,109.0
11-1096,"Noodles, egg, fried with spring onions, homemade",AD,244.0,5.0,30.5,12.2,,0.2,120.0
11-724,"Noodles, egg, medium, dried, boiled in unsalted water",AD,166.0,5.8,35.7,1.0,3.0,0,141.0
